coordinate,in_range
"(119.94662737185669, 29.96088879190798)",False
"(119.94650966440085, 30.02445461988892)",False
"(119.9485037988388, 29.97645705507333)",False
"(120.05996727007228, 30.02249881711397)",False
"(120.00790996262664, 30.03655146878632)",True
"(120.04225207884367, 29.95963864416258)",False
"(119.98796733128256, 29.94588594017199)",False
"(120.0363191966507, 30.03938221173079)",False
"(119.9609796539368, 30.04798063422593)",False
"(120.01350531830721, 29.99881549970292)",True
"(120.03733836993055, 29.95951266201095)",False
"(120.04682529177269, 29.95527007628617)",False
"(119.96924765921254, 30.0378140371314)",False
"(119.99355568542114, 30.05890358683962)",False
"(120.0484378199809, 29.97368078598711)",False
"(119.99040217565079, 30.05809709160721)",False
"(119.95365401755676, 29.97481740856541)",False
"(120.03873725024552, 30.05406918961969)",False
"(119.96954775285585, 29.95160197123114)",False
"(120.04356826957824, 30.04724264233531)",False
"(120.05342704871168, 29.99611865312801)",False
"(119.96648312436702, 29.95321737365009)",False
"(119.98480436583067, 30.06833874312291)",False
"(120.05979611626998, 30.00872261502823)",False
"(120.04416013240821, 30.01309245066131)",False
"(120.0063201350293, 30.05776853658848)",False
"(120.04440098660487, 30.02029916690469)",False
"(119.95593526608667, 29.96303237406966)",False
"(119.99708216449044, 30.0535523174621)",False
"(120.00778140049246, 30.07112508150126)",False
"(119.95521506382113, 29.99013518143406)",False
"(120.01804027298996, 30.05261338544165)",False
"(119.98554683837655, 30.03092063820948)",True
"(119.95966095504811, 30.02560730612567)",False
"(119.95675283237276, 29.96830868122293)",False
"(119.9684882278013, 30.03874785767477)",False
"(119.98902446795384, 30.06643656598862)",False
"(119.95070062697388, 30.04135916908552)",False
"(119.94323799569302, 29.96915775029213)",False
"(119.98721300153284, 29.9424935219009)",False
"(120.05056766898204, 29.96789954295574)",False
"(119.96496921582823, 29.94432526138004)",False
"(120.05981732856114, 29.99565441463266)",False
"(120.01972456135174, 29.98346637405713)",True
"(119.94141855362821, 29.97802112307927)",False
"(119.95354160734514, 30.01377383129233)",False
"(119.95705669313362, 29.94719557084731)",False
"(119.94458724631471, 30.02533350769243)",False
"(119.96024140322272, 29.97476116353232)",False
"(120.02756809611569, 30.04381422174179)",False
"(119.97688809184822, 29.94328653097707)",False
"(119.97673032955159, 29.94289940382751)",False
"(120.04686415051296, 29.98610587095384)",False
"(120.06146306481526, 29.9864614748922)",False
"(119.95694672289757, 30.05293965198397)",False
"(120.03479230193307, 29.95721830067255)",False
"(120.01539606584554, 29.94528541751431)",False
"(119.95253932922277, 29.95466312962707)",False
"(119.98591114120538, 30.05006902635916)",False
"(120.05283398760601, 30.0241545518391)",False
"(120.02821787700736, 29.94073138327733)",False
"(120.05228612617462, 29.99620153841229)",False
"(119.98989858142394, 29.93885457588897)",False
"(120.05688921622239, 29.99586713496704)",False
"(119.95340611857279, 29.99661506633265)",False
"(120.05716203493667, 29.97855366488498)",False
"(119.94380013306488, 29.99180197921719)",False
"(120.05564317584437, 30.01225657287855)",False
"(119.9598411128082, 29.98184102930116)",True
"(119.94635446898921, 30.01590465040879)",False
"(119.94612593726032, 29.9797872625633)",False
"(120.04239942402182, 30.02691523886532)",False
"(120.0066620072708, 30.06089338423812)",False
"(120.05232711548679, 30.01963234611181)",False
"(119.96038217811497, 29.9621550217086)",False
"(120.02413032229994, 30.02434323627699)",True
"(120.02596857838371, 29.97909794559797)",True
"(120.0426321032655, 29.97683538503371)",False
"(119.94939470106914, 30.03708332240506)",False
"(119.9970014717958, 30.05503330595028)",False
"(119.98509462295283, 30.06703338089252)",False
"(120.05032019638651, 30.03687440061636)",False
"(120.021969247953, 29.96130538068646)",True
"(119.9929901789121, 29.93592745975874)",False
"(119.95308895208167, 29.97022077329413)",False
"(119.97629224128782, 29.95020440183722)",False
"(119.95096416048375, 30.01453798425167)",False
"(119.93822092762713, 30.01360813237952)",False
"(119.95329941093517, 30.01028678116693)",False
"(119.94570038492117, 29.97517539510655)",False
"(120.045370642131, 30.0)",False
"(119.99259433374678, 29.93230927821507)",False
"(119.98871678012785, 29.94925640773856)",False
"(120.05239898851252, 29.98845802721142)",False
"(119.95359911255386, 30.03892751635171)",False
"(119.94110777454355, 29.9779045234445)",False
"(119.98830555068486, 30.07078828163946)",False
"(119.99315029382815, 29.93739097348809)",False
"(119.94733137739307, 29.97592104944756)",False
"(119.9546038344864, 30.04336474890922)",False
"(120.05892233336266, 29.97306198868989)",False
"(120.05925833763824, 30.0)",False
"(119.96240549478298, 30.03153949842594)",False
"(120.04994838118175, 29.97716468475689)",False
"(119.94267851695741, 30.02150615764437)",False
"(120.02086569504068, 29.94879843145963)",False
"(120.00530167923351, 30.00136382344527)",True
"(120.0455025383912, 30.00330565021484)",False
"(120.00858455507237, 29.9480363815485)",False
"(119.95966095504811, 29.97439269387433)",False
"(120.02255413089235, 29.93422221589438)",False
"(119.9661724251338, 30.04159544084455)",False
"(120.04239942402182, 30.02691523886532)",False
"(120.04726642527768, 30.01401339414393)",False
"(119.94223146341152, 29.99157315329427)",False
"(119.98272618445458, 30.02245239896071)",True
"(120.0, 30.05264568982104)",False
"(120.05073302074841, 30.01903426576001)",False
"(120.0, 30.06822872566574)",False
"(119.97356519819333, 29.93513260335128)",False
"(120.0554679213119, 30.01221796940351)",False
"(120.00385735597713, 30.07079574951204)",False
"(119.98622616870767, 30.0619445235398)",False
"(120.01184496322142, 30.07169936522286)",False
"(119.99093369936368, 30.05487969767333)",False
"(120.03811945478317, 30.02793375518957)",False
"(120.02975300104978, 29.93750702027976)",False
"(119.96528801241361, 29.98088927748442)",True
"(119.98008622363913, 29.94192265317405)",False
"(120.0552540447891, 30.03507537774588)",False
"(120.05793956736194, 30.00420917052256)",False
"(119.95642143160586, 30.03193416768309)",False
"(120.0037315386201, 30.06848656826313)",False
"(120.0612271930412, 30.01815243660532)",False
"(120.01959990762728, 29.95190450105754)",False
"(119.97071601840766, 29.94671730052738)",False
"(119.93892761679703, 29.98189346090582)",False
"(119.9741197841471, 29.94564138919149)",False
"(119.94547928021841, 29.98383587650596)",False
"(120.02712696006039, 30.04935796233668)",False
"(120.05000822606186, 30.0187623337031)",False
"(120.03663228072357, 30.03499303603239)",False
"(119.97812295557276, 29.93619689838316)",False
"(119.95705580729232, 29.97273894088725)",False
"(120.01660065495412, 30.05899545467758)",False
"(119.95661848477548, 30.0533432638138)",False
"(119.97245407359955, 29.94214274328033)",False
"(120.05101120676164, 30.04279529325035)",False
"(120.0289257180278, 30.04597190239009)",False
"(120.0061420672208, 29.94385907368616)",False
"(119.9783744242077, 30.06306970826832)",False
"(120.03981283533011, 29.96659945782029)",False
"(120.04598801462951, 29.96630020157365)",False
"(119.94833468113838, 30.02362026186691)",False
"(119.97315320243226, 29.93412162196974)",False
"(119.94635446898921, 29.98409534959121)",False
"(119.95831870676103, 29.95480347400474)",False
"(119.9587064481489, 29.95522391594295)",False
"(119.98677082773948, 29.9959334562853)",True
"(119.95560375114896, 29.96746663996654)",False
"(120.00782203471388, 30.07149649437392)",False
"(120.05528741450864, 29.96995898462718)",False
"(119.95255111365289, 30.00344704772289)",False
"(120.0389483539898, 30.05436384678575)",False
"(119.97781262738573, 29.93529184464438)",False
"(119.94837082495218, 30.03277430321026)",False
"(120.02407128459025, 29.95620189082903)",False
"(119.9594348764676, 29.9501198592297)",False
"(120.0543834721686, 29.9704501514863)",False
"(119.95569943931245, 29.95196330806629)",False
"(120.00366701147296, 29.93269772682736)",False
"(119.96889399424768, 29.9565824493821)",False
"(119.98573647828962, 30.06414678948777)",False
"(120.04452777962952, 29.9758053487533)",False
"(119.99158215118662, 30.05095452009252)",False
"(120.0363973970052, 30.05784670861993)",False
"(120.00654196127117, 30.05979611626998)",False
"(120.0137284478698, 30.06174042241314)",False
"(120.0314657217204, 29.94999124702201)",False
"(119.96699511741225, 30.06005294172537)",False
"(119.94346523717364, 30.00410711484437)",False
"(120.04437398417909, 30.01315585273024)",False
"(120.0364930539297, 30.05799873702565)",False
"(120.03562289569729, 30.05661578676366)",False
"(120.02712696006039, 30.04935796233668)",False
"(120.02193946122861, 29.93601486348652)",False
"(120.04261169335643, 30.05239666684071)",False
"(120.04324716762724, 29.96830868122293)",False
"(120.04176893467603, 30.01909584991804)",False
"(119.94382192693524, 30.00408120218919)",False
"(120.02622869995857, 29.9939548713896)",True
"(119.97708498009835, 30.06683029548164)",False
"(119.9480236019988, 30.00758193238289)",False
"(120.00315372574147, 29.94211828544066)",False
"(120.05700169604874, 30.0)",False
"(119.99294509921222, 30.06448458654723)",False
"(120.00729786332096, 30.06670536030009)",False
"(119.95417198498129, 30.03844691130267)",False
"(120.06287286681486, 29.99082857136622)",False
"(120.009449011858, 30.05719630694811)",False
"(119.9622332599942, 29.95904816492517)",False
"(120.00314108550727, 29.94235027721414)",False
"(119.94547928021841, 29.98383587650596)",False
"(120.04740344129455, 29.97424282684748)",False
"(120.03991910243636, 30.03813277694822)",False
"(120.04401350641768, 30.02793986158686)",False
"(120.06207798192008, 29.99094452329356)",False
"(119.95300259802674, 30.01763271782347)",False
"(120.02558260876424, 29.99232860932532)",True
"(120.04340031106798, 30.02358202899459)",False
"(119.95443547162843, 29.97916888706598)",False
"(119.97901627613979, 30.06119778520384)",False
"(120.04690164649107, 30.0)",False
"(119.9584494653433, 29.96955196579548)",False
"(120.05847650854643, 30.02673418988526)",False
"(119.99158215118662, 29.94904547990748)",False
"(120.0, 30.06499710815876)",False
"(119.95520780771646, 29.97952198235409)",False
"(119.95330091135833, 29.97865019074756)",False
"(119.95992864509134, 29.99853101376067)",True
"(119.95123943411389, 30.0409071427363)",False
"(120.0, 30.05868798425357)",False
"(119.96466825036376, 30.04344502104398)",False
"(120.03755497418412, 29.9475810232411)",False
"(120.04102873999717, 29.94954978196844)",False
"(119.97234419953773, 29.94967980361349)",False
"(119.96113303376934, 30.02848152802353)",False
"(119.98711576060022, 30.05794379601823)",False
"(119.97506072433373, 29.93880242043776)",False
"(120.04842613358095, 29.96451355960042)",False
"(120.06287286681486, 29.99082857136622)",False
"(119.97927858299926, 30.06043278281675)",False
"(120.03113156299159, 29.9505223284786)",False
"(120.04783784760251, 30.04569716904876)",False
"(119.99232112573216, 29.92981204878641)",False
"(119.98721300153284, 29.9424935219009)",False
"(119.9535306359713, 30.0)",False
"(120.05440387816165, 30.00793603522851)",False
"(119.95507637017072, 30.0)",False
"(119.98776162973732, 30.05503915350319)",False
"(120.01120404487986, 29.99964677876658)",True
"(120.0104123039394, 29.93697273946676)",False
"(119.98728821582752, 29.99292285135591)",True
"(119.9892858276379, 29.93514548395885)",False
"(120.0558819199295, 30.03036404633106)",False
"(120.02647841304928, 30.04817792008807)",False
"(119.94343404719375, 29.98322951255263)",False
"(119.9452322122418, 30.007989119668)",False
"(120.03610890582209, 30.05738820700218)",False
"(120.04809549894246, 29.97386678983029)",False
"(119.95178561940027, 30.03060658488938)",False
"(120.03404193713128, 29.93806012000412)",False
"(120.04518001070878, 30.02065531980842)",False
"(119.97634052570993, 30.05805712161182)",False
"(120.05267480778674, 29.98023720497066)",False
"(119.9862715521302, 30.06174042241314)",False
"(119.99431836612122, 29.95809355534575)",True
"(120.00765820431307, 29.93000098035714)",False
"(120.04471913491501, 30.03276996940567)",False
"(119.9618096945252, 29.95858887764679)",False
"(119.98222215447923, 29.93682104214657)",False
"(119.99105170396842, 30.05416539784014)",False
"(119.98179371119876, 30.06470156079924)",False
"(119.9711950579403, 30.04577995206368)",False
"(120.03348983098023, 29.9919073894701)",True
"(119.95909786505713, 29.95564834338012)",False
"(119.95142554713276, 29.96440487193275)",False
"(119.94707677739, 30.00772004815156)",False
"(119.99690999245789, 29.94328773355688)",False
"(120.01003102455762, 30.06071931840329)",False
"(120.03156919378031, 30.05744068167386)",False
"(120.05895976576211, 30.00860061440404)",False
"(120.01336003770892, 30.03234354068818)",True
"(120.05685483340697, 29.98747653420971)",False
"(119.9397286259434, 30.0)",False
"(119.96920622164765, 30.04894082737292)",False
"(120.00603795684505, 29.94481068374245)",False
"(119.94749726323064, 29.97599688885028)",False
"(120.03239725611085, 30.04521986905919)",False
"(120.05072499316996, 30.00368504902141)",False
"(119.96825958115583, 29.98459748753397)",True
"(120.04072141411574, 30.02585003483289)",False
"(120.0498894877817, 30.03655877939897)",False
"(119.97921269597448, 30.06062493841396)",False
"(120.01568072283018, 29.92947968623543)",False
"(120.0230340597671, 30.06717746818392)",False
"(119.93986484452168, 30.01782867290416)",False
"(119.96621434207545, 29.93852642435244)",False
"(120.0446061165203, 30.01673554351474)",False
"(120.03465612801746, 30.04261425563474)",False
"(120.0481378653732, 30.01060337132472)",False
"(119.95071677902723, 30.02677857179654)",False
"(120.01900013076933, 29.94458724631471)",False
"(119.96288428039078, 30.05180586821993)",False
"(120.03022158107423, 29.93652281831923)",False
"(120.03252680191633, 29.99116899898596)",True
"(119.95319090319462, 30.00340056854809)",False
"(119.95447206014387, 30.04349062652932)",False
"(119.99923491040393, 30.00283578458816)",True
"(120.05365316804766, 29.97547093665155)",False
"(119.97426651160941, 29.93685353078129)",False
"(119.96766006409592, 29.94860185060039)",False
"(119.97964657356964, 30.01953340316045)",True
"(119.95478420440459, 30.01696428592694)",False
"(119.94988563744397, 29.97276981842387)",False
"(120.01938538853125, 30.06889184876523)",False
"(120.00587833501422, 30.05373030952244)",False
"(119.95275282602482, 29.96036250083309)",False
"(120.04037434334772, 29.95622064679723)",False
"(119.9593374612161, 29.96115705446868)",False
"(120.04380762826685, 29.97997210364263)",False
"(119.97914701712511, 30.06081648687993)",False
"(120.03744564360517, 29.94773362611733)",False
"(120.04805339724346, 29.96949560766599)",False
"(120.04171450459481, 30.05129345556387)",False
"(119.95516501669235, 29.99674284605995)",False
"(119.96833916830914, 29.94239258159901)",False
"(119.97558665934217, 30.03548467075384)",True
"(120.05052646014526, 29.99632937392639)",False
"(120.05382170728474, 29.98404311742956)",False
"(120.01750474410021, 29.93779159074982)",False
"(119.94869978861213, 29.98479068223116)",False
"(119.95844755187066, 30.04505681460691)",False
"(119.97794103175431, 30.05412969816528)",False
"(119.99675917274892, 30.05948032684533)",False
"(120.00882871431803, 29.9465584484727)",False
"(119.94229527143592, 30.01271067296842)",False
"(120.05488114172176, 29.9794094216876)",False
"(119.9467085687732, 29.98420033192931)",False
"(120.02350936393799, 30.04937889127063)",False
"(120.03706373262486, 29.96890578742737)",False
"(119.98218857694735, 30.05194595818226)",False
"(119.98604611098322, 30.06275429024259)",False
"(119.964530946706, 30.03388186144668)",False
"(120.0314657217204, 30.05000875297799)",False
"(120.03546789280074, 30.00588833819923)",True
"(120.03156919378031, 30.05744068167386)",False
"(119.99623661267758, 30.06907110149395)",False
"(120.0536686568234, 29.99217121342063)",False
"(120.03695790740046, 30.03530409135881)",False
"(119.95266572271156, 30.04521613282069)",False
"(119.9771986077965, 30.04789187276209)",False
"(120.04091125856733, 30.0259705484691)",False
"(120.03790845434987, 30.04110550103715)",False
"(120.03369979842635, 30.06131735283936)",False
"(120.0585732471267, 30.0)",False
"(120.00360132833998, 29.93390323823402)",False
"(119.9963438537701, 30.06710285859158)",False
"(120.03687320016711, 29.94139709315899)",False
"(120.01442676912829, 29.94873010693827)",False
"(120.0425817879775, 29.9729689961322)",False
"(120.0477124532909, 30.04557738596188)",False
"(119.9758224036144, 30.03111951760105)",True
"(120.01788803167739, 29.9478306173106)",False
"(120.02664159610649, 30.06537484164371)",False
"(120.024002276324, 30.05041420074046)",False
"(120.03830770014916, 30.02807170049858)",False
"(119.98066438148291, 30.06871497594768)",False
"(120.01300130430265, 30.02602630796248)",True
"(120.05228327622584, 29.96168706381273)",False
"(120.02138525245623, 29.94752350845464)",False
"(120.03956322165497, 30.02511481195068)",False
"(120.01852111827968, 30.06582040269298)",False
"(120.05186887120085, 30.03800926215565)",False
"(120.03886696623066, 30.02848152802353)",False
"(120.02878506975516, 29.94762507904787)",False
"(120.04327237916428, 29.94679093328889)",False
"(120.01863680601922, 30.05435313861581)",False
"(119.9927895393927, 29.93409353510947)",False
"(119.97320139807243, 30.04259125774582)",False
"(120.0036778446176, 29.93249890136267)",False
"(119.94396680468336, 29.97897718851932)",False
"(119.98877222626129, 30.05049423649067)",False
"(119.98975924493045, 29.93801115088638)",False
"(120.04656871290025, 29.95551517360336)",False
"(119.94868887480631, 29.96239945146607)",False
"(119.9670887509556, 29.96431314848021)",False
"(119.9509326117724, 30.02243254439531)",False
"(119.99890925228684, 30.04304419119867)",True
"(119.93892761679703, 30.01810653909418)",False
"(119.99348231325139, 30.05957423752238)",False
"(119.95802274016792, 29.98080890834441)",False
"(120.05239571312738, 30.01553410851768)",False
"(120.01923569217105, 30.06835985741564)",False
"(119.97799829904001, 30.06416665499595)",False
"(119.94035093429979, 29.99566663852571)",False
"(120.04625833445965, 29.9611920769151)",False
"(119.97056352924183, 29.93817185812458)",False
"(120.04315608510977, 29.9637946750321)",False
"(120.04501348677034, 30.01688838270089)",False
"(119.95128947024104, 30.02226939645266)",False
"(119.97957736381791, 29.94988563744397)",False
"(120.00757496048956, 29.93076186186383)",False
"(120.05828547829995, 30.00423430012207)",False
"(120.04239942402182, 29.97308476113468)",False
"(119.99614264402287, 30.07079574951204)",False
"(120.03255482156308, 30.05173966909952)",False
"(119.94733070832106, 29.9665654286795)",False
"(119.95066349806692, 29.98913260391164)",False
"(120.04945766000884, 30.01855576960704)",False
"(120.04376394723099, 30.03671528423732)",False
"(120.0, 30.05586929651446)",False
"(119.99318224366353, 29.95639036634273)",True
"(119.95182477405767, 30.0)",False
"(120.01507989118574, 29.94640903991738)",False
"(120.03863418066122, 29.96758827724642)",False
"(119.9553938834797, 29.98326445648526)",False
"(120.01113576726716, 30.06740649416973)",False
"(119.97178212299264, 29.94073138327733)",False
"(119.98562630001148, 30.03236964397064)",True
"(120.03715819475305, 29.9543091250894)",False
"(119.94821504426255, 30.00755400620188)",False
"(120.04797842473803, 29.96484163851145)",False
"(119.98524305611492, 30.05244326904922)",False
"(120.03705003843464, 30.04017468977356)",False
"(120.0305665148895, 30.04857963551863)",False
"(119.99622605617066, 30.06926484970482)",False
"(120.04392056166624, 30.04195517632514)",False
"(120.02606056797114, 29.94526257895823)",False
"(120.00956083837599, 30.05787320988193)",False
"(119.94908739277587, 30.01910164390259)",False
"(119.94331667477688, 29.98751431247313)",False
"(120.04166198648015, 30.02644711204426)",False
"(119.95648772861057, 30.01290037495951)",False
"(120.00725429359831, 30.0663071157838)",False
"(119.98560581734695, 30.06473440593724)",False
"(120.04291320766704, 30.03144659450637)",False
"(120.04253470459545, 29.95936866552842)",False
"(120.0, 29.93021155916304)",False
"(120.04833617196327, 29.9538268059272)",False
"(120.02321147491536, 30.06769488893381)",False
"(119.98297361078052, 29.95034354639851)",False
"(120.052196541054, 30.0)",False
"(120.05566715475193, 29.9918796873291)",False
"(119.9492793271313, 29.96780241578357)",False
"(119.96770498281028, 30.05876132963535)",False
"(120.00751192227442, 30.06866194389007)",False
"(119.97618639069682, 29.94156465209748)",False
"(120.030065024817, 29.94529617917873)",False
"(120.04652389473829, 30.02527926200669)",False
"(119.95478234907347, 29.9900398669636)",False
"(119.9892858276379, 30.06485451604115)",False
"(119.97781262738572, 30.06470815535562)",False
"(119.96369626654737, 29.96532080919546)",False
"(120.0, 30.07017295306295)",False
"(120.05787673362951, 29.97354001418259)",False
"(119.9600219569763, 29.95084175172917)",False
"(119.9618821122183, 30.03197858449661)",False
"(119.9522320974645, 29.98207820196302)",False
"(119.96628778193319, 29.94642087028467)",False
"(120.01166396517371, 30.05245590351269)",False
"(120.030065024817, 29.94529617917873)",False
"(119.98077704886667, 29.95282950085862)",False
"(119.98321627957033, 30.04894872447898)",False
"(119.96280551642327, 29.95966868316158)",False
"(119.96018716466989, 30.03340054217971)",False
"(120.04500181365157, 29.99008740963618)",False
"(120.03371980683191, 30.02199172802436)",True
"(119.95046654518029, 29.98908922092042)",False
"(119.99678381818075, 29.94097200159635)",False
"(119.97665184814683, 30.0572931788311)",False
"(119.9568499551528, 30.01618924733953)",False
"(120.04080960088702, 30.03898342680553)",False
"(120.00322852805205, 29.94074540575969)",False
"(119.97205510149367, 30.04441307715159)",False
"(119.96271476831312, 30.04584708348562)",False
"(119.99566648031382, 30.04228704784858)",True
"(120.04798885238512, 30.02193946122862)",False
"(119.94223146341152, 30.00842684670573)",False
"(120.0063201350293, 29.94223146341152)",False
"(120.05706580893778, 29.98308131685251)",False
"(120.0289551881282, 30.06081725945772)",False
"(119.94376975314255, 29.98332904154704)",False
"(119.98978725012469, 29.98283973083026)",True
"(120.00716635951709, 29.93449663653547)",False
"(119.94267851695741, 30.02150615764437)",False
"(120.03627800818647, 30.00300257283591)",True
"(119.99132944955257, 29.97969317592669)",True
"(119.9594348764676, 29.9501198592297)",False
"(119.94488425952693, 30.01214039421029)",False
"(119.99365483463501, 29.94200267623266)",False
"(120.0, 29.93689335877297)",False
"(120.05127199680949, 29.98870627069739)",False
"(120.01128321987215, 30.05074359226144)",False
"(120.00303807094332, 30.05575905121992)",False
"(119.97856496162923, 30.06251401718729)",False
"(120.03677445095971, 30.04521901157667)",False
"(119.96099171941636, 30.03726271313342)",False
"(119.96743696977339, 29.94075101611401)",False
"(120.0293827474093, 29.94653759445406)",False
"(119.94868401609695, 30.00372798307988)",False
"(120.04551633021575, 30.03335415033101)",False
"(119.96831346348827, 29.94964030409905)",False
"(119.95274384487624, 30.02160448795131)",False
"(120.01893274895212, 30.06728325694464)",False
"(120.02466572680697, 30.04487970683171)",False
"(120.06013515547832, 30.01782867290416)",False
"(120.00336134499204, 30.06169224191139)",False
"(119.97827527787656, 29.9466904962114)",False
"(120.0324739383217, 29.94091312034086)",False
"(120.00705490078778, 29.93551541345277)",False
"(120.03063774341815, 29.9442541080037)",False
"(119.97528175624734, 29.93934480259434)",False
"(120.05564317584437, 29.98774342712145)",False
"(120.04732998092027, 30.0)",False
"(120.05207748310019, 30.03305889005532)",False
"(119.94541386377955, 29.99203737831434)",False
"(120.04871052975896, 29.97773060354734)",False
"(119.95533976970405, 29.96253278890119)",False
"(119.95501348059024, 29.97943314021181)",False
"(119.93949485975406, 29.98667247780707)",False
"(120.05283398760601, 29.9758454481609)",False
"(120.04125859468078, 29.94926714548228)",False
"(119.954011906947, 29.97501187164114)",False
"(119.98206028911693, 29.93624580456276)",False
"(120.03147728909103, 29.94272654046167)",False
"(119.94446618610694, 30.03525297573063)",False
"(119.97738532099632, 29.93404563092134)",False
"(120.02918488153963, 30.0531023852517)",False
"(120.0245807274077, 30.05162917504783)",False
"(120.05102343527224, 30.0)",False
"(119.9445320786881, 29.98778203059649)",False
"(120.03625647507455, 29.9554179077229)",False
"(120.04239942402182, 29.97308476113468)",False
"(119.93744387508309, 29.99087477533082)",False
"(120.00362335501838, 29.93349897292497)",False
"(120.05235718256436, 29.99236252158234)",False
"(119.99423053246329, 30.05273521767262)",False
"(119.95819025871158, 30.04533580683697)",False
"(120.03223195585002, 29.94877346426613)",False
"(120.02806937528501, 29.95538909079066)",False
"(120.05214550714255, 30.0382119796582)",False
"(120.05757450318971, 29.97367818737671)",False
"(120.05268597937051, 30.02862749741994)",False
"(120.05417431645317, 29.99606436591992)",False
"(119.992404143028, 29.93057085974058)",False
"(119.95831892144162, 30.03981590703754)",False
"(120.01903426576001, 30.06764402766454)",False
"(120.04145310689084, 29.97747600548106)",False
"(120.01107195145651, 29.93297979264508)",False
"(120.04543246282888, 30.01000744984922)",False
"(119.94104023423789, 30.00860061440404)",False
"(119.9584494653433, 30.03044803420452)",False
"(120.05387406273968, 30.0202127374367)",False
